Company_name,Rating,NumberOfUserReview,Type,Location,Region
Kendriya Vidyalaya Haldia,4.2,-97,CBSE School,Haldia,Haldia
HALDIA INFORMATION TECHNOLOGIES,4,-4,Software company,Haldia,Haldia
Centre for skilling and technical support,,,Petrochemical engineering service,Haldia,Haldia
Haldia Govt. School Playground,,,Playground,Haldia,Haldia
DARJINC,4.3,23,Aggregate supplier,Darjeeling,Darjeeling
Happy Valley Tea Estate,4.4,"2,227",Garden,Darjeeling,Darjeeling
Startup Karle,,,Business management consultant,Darjeeling,Darjeeling
Darjeeling,,,West Bengal,Darjeeling,Darjeeling
Glenburn Tea Estate,4.8,894,3-star hotel,Darjeeling,Darjeeling
Tumsong Tea Retreat,4.7,41,Resort hotel,Darjeeling,Darjeeling
SPK TechnoSoft Pvt. Ltd.| Best Software Development | website Development | App Development | Digital Marketing | Company.,5,-16,Software company,,Asansol
CodeLane Solutions,,,Software company,,Asansol
V,3,-4,Corporate office,,Asansol
Shri Balaji Infinity Solutions,5,-5,Website designer,,Asansol
BPO Convergence Pvt Ltd,4.2,-521,BPO Company,,Asansol
SmallTownTalks,4.3,-31,Advertising agency,,Asansol
Mediaffix,,,Marketing agency,,Asansol
IT Solution,3.9,-189,Electronics store,,Asansol
Asus Exclusive Showroom - UNITEL,4.9,-307,Computer store,,Asansol
