Company_name,Rating,NumberOfUserReview,Type,Location,Region
Goodricke Group Limited,4.4,-83,Tea Manufacturer,"14, Gurusaday Dutta Rd",Kolkata
Shrachi EcoPal,4.2,-300,Portable toilet supplier,"8th Floor, Shrachi Towers, 686, Anandapur EM Bypass, RB Connector Junction",Kolkata
Sriram Associates Private Limited,,,Corporate office,"14, Netaji Subhas Rd",Kolkata
LTIMindtree,4.7,-140,Software company,"18th floor, HCHP+W8J Adventz Infinity, Adventz Infinity @5, 18th floor, Street Number 18",Kolkata
AMRIT EXPORTS PVT. LTD.,3.6,-299,Manufacturer,"En-26, EN-24, Street Number 14",Kolkata
B G Distributors Pvt Ltd,4.2,-53,Corporate office,"Merlin Infinite DN-51, 905",Kolkata
Strathspey,4,-19,Pharmaceutical company,"228A, Acharya Jagdish Chandra Bose Rd",Kolkata
Palsons Derma Pvt Ltd,4.4,-37,Pharmaceutical company,"E 7-92, New Biren Roy Road West, Behala",Kolkata
Avadh Sugar & Energy Ltd.,,,Food manufacturer,"9, 1, RN Mukherjee Rd",Kolkata
Nalco Water India Ltd.,,,Manufacturer,"1, Lenin Sarani",Kolkata
Denave India Pvt. Ltd.,3.6,-11,Corporate office,"Plot no. 108, Block-B, Rajdanga Main Rd",Kolkata
TECHNIXIA AUTOMATION PRIVATE LIMITED,5,-98,Automation company,"3ES8, MANI CASADONA, plot, 04, Street Number 372",Kolkata
Prakash Spices Private Limited,4.6,-19,FMCG Manufacturer,"42, Sibtala St",Kolkata
Hindustan Motors Limited,4.2,-10,Corporate office,"Birla Building, 10th Floor, Western Side, 9/1, R. N. Mukherjee Road",Kolkata
Dongfang Electric (I) Pvt. Ltd.,4.3,-195,Corporate office,·,Kolkata
Stadmed Private Limited,3.7,-42,Corporate office,"Kumud Apartment, 14A, Satyendranath Mazumder Sarani",Kolkata
Pursuit Software INC.,4.5,-92,Software company,"SDF Building, Unit # 128, Salt Lake, Electronics Complex, Sector V",Kolkata
United Spirits Limited -Diageo,4.3,-61,Alcohol Manufacturer,"1858, Rajdanga Main Rd",Kolkata
Bipl Omega Tower,4.4,-231,Corporate office,"11, RDB Blvd",Kolkata
DPURE,5,-1,Manufacturer,"6, Brabourne Rd, near passport office",Kolkata
Unified Infotech | Best Web Design and Development Company In India,4.1,-180,Website designer,"1st Floor Plot, Block-B No - 53, Webel STP II Building",Kolkata
Sonodyne Pvt. Ltd.,3.4,-14,Electronics manufacturer,98 NB,Kolkata
Khadim India Ltd. Corporate Office,4.3,-116,Corporate office,"7th Floor, DLF IT Park, 7th Floor, TOWER-C",Kolkata
Safechem Industries,4,-4,Chemical Manufacturer,"25a, Khagen Chatterjee Road, Cossipore, Cossipore",Kolkata
Bit Wave Solutions Pvt Ltd,4.1,-27,Software company,"Unit 602, Shaila Towers, J-1/16, EP & GP Block, Sector- V, Electronics Complex, Salt Lake,, Block EP J-1/16, Sector-V, Salt Lake",Kolkata
Mahindra & Mahindra Limited,3.9,-25,Manufacturer,"51, 1st Floor, Apeejay House, Park Street, 31 Chowringhee Road",Kolkata
CLOSET Main Headquarters,,,Manufacturer,"4, India Exchange Pl Rd",Kolkata
CIL Office,4.5,-53,Corporate office,HCJV+PGC,Kolkata
McNROE Consumer Products Pvt Ltd,4,-87,Corporate office,Sector V Godrej Genesis Building,Kolkata
LUX INDUSTRIES LTD,4.4,-118,Corporate office,Adventz Infinity,Kolkata
Exide Industries Limited,4.2,-214,Corporate office,"6A Hatibagan Road, Entally",Kolkata
Balarampur Chini Mill,4.3,-13,Manufacturer,"2nd Floor, 234/3A, 700020, FMC Fortuna, A J C Bose Road, Sreepally, Bhowanipore",Kolkata
INSILICA,5,-5,Manufacturer,"F7M9+P2X, N.L.Chatterjee Road, P.O. Raipur",Kolkata
Bellissa Pharmaceuticals Pvt. Ltd.,4.8,-12,Pharmaceutical company,"17 2 30, Netaji Subhash Chandra Bose Rd",Kolkata
Cognizant Technology Solutions,4.4,"-2,044",Corporate office,"ICICI Bank Salt Lake Sector 5, 24*7 Electronic Branch, Technocomplex , Saltlake Electronic Complex, Plot GN-34/3, Street Number 27",Kolkata
IRCON Regional Office,4.6,-12,Corporate office,,Kolkata
Sunny Trexim Private Limited,,,Cotton mill,"2nd Floor, AJC Towers, 204, Acharya Jagdish Chandra Bose Rd",Kolkata
Ericsson India Global Services Pvt. Ltd. Kolkata office,4.6,"-1,308",Corporate office,"700, DLF IT Park II, Dlf It Park 2, Block 1A, 156, Jamshedji Tata Rd",Kolkata
