Company_name,ration,user_review,Type,region
SAINI EARTH MOVERS (BRANCH & WORKSHOP),3.6,-18.0,Construction equipment supplier,kharagpur
Indane - Kharagpur Agency,4.2,-91.0,Gas Agency,kharagpur
Rashmi Metaliks Ltd.,3.8,-129.0,Steel fabricator,kharagpur
ROY VARIETY STORES,,,Print shop,kharagpur
ICICI Lombard - Kharagpur,4.0,-5.0,Insurance company,kharagpur
TIL LIMITED,5.0,-1.0,Manufacturer,kharagpur
Flour Mill,,,Mill,kharagpur
Shree Nathji Transport,3.6,-5.0,Logistics service,kharagpur
I O W Office,4.7,-3.0,Corporate office,kharagpur
RASHMI METALIKS UNIT-III,3.9,-215.0,Corporate office,kharagpur
Max Life Insurance,4.2,-45.0,Insurance company,kharagpur
Maa Kali Weigh bridge,,,Car rental agency,kharagpur
KHARAGPUR CRANE SERVICE,4.5,-2.0,Construction equipment supplier,kharagpur
Shree S.K Enterprise,,,Plywood supplier,kharagpur
M/S. SNEHA & NEHA (Electrical & Electronics),,,Electrical products wholesaler,kharagpur
Kharagpur Breakdown Service,4.0,-2.0,Crane rental agency,kharagpur
Yadav motor garage,,,Machine shop,kharagpur
NATIONAL TRADE CORPORATION,,,Manufacturer,howrah
National Engineering Works,,,Metal fabricator,howrah
National Techno Projects,,,Manufacturer,howrah
National Rubber Industries,5.0,-2.0,Manufacturer,howrah
NATIONAL MANUFACTURING COMPANY,,,Bearing supplier,howrah
National Plastic Household Products Private Limited,,,Plastic fabrication company,howrah
NATIONAL ENGINEERING CONCERN,,,Manufacturer,howrah
National Casting & Engg. Company,5.0,-2.0,Manufacturer,howrah
The National Engineering Co,,,Manufacturer,howrah
Vikram India Limited,3.8,-52.0,Manufacturer,howrah
NATIONAL JUTE MILL,4.7,-6.0,Jute Mill,howrah
National Techno Projects,,,Manufacturer,howrah
National furniture stores,3.7,-6.0,Furniture Manufacturer,howrah
National Brush,5.0,-1.0,Manufacturer,howrah
National Pips P Ltd,,,Iron works,howrah
NationalfurnitureStore(Showroom-2),4.3,-32.0,Furniture Manufacturer,howrah
Ecodrive - National Manufacturing Company,5.0,-2.0,Hardware store,howrah
NATIONAL CHAIN CORPORATION,5.0,-3.0,Manufacturer,howrah
National Packing Industries,,,Paper mill,howrah
national plastics,,,Plastic Injection Molding Workshop,howrah
National Trading Company,4.2,-5.0,PVC industry,howrah
"National Engineering & Technology, Unit-2",,,Manufacturer,howrah
SAM ENTREPRENEURS,5.0,-1.0,Manufacturer,howrah
National Engineering Industries Ltd.,5.0,-1.0,Bearing supplier,howrah
"Balaji Engineerings || Auto Coal Sampler In Howrah | Air Receiver Tank, limpet coil tank,venturi air tube in Howrah",4.5,-2.0,Engineer,howrah
Jindal (India) Limited,4.3,-188.0,Manufacturer,howrah
NSI India Ltd.,4.0,-1.0,Steel distributor,howrah
Gurunanak Private Limited,5.0,-1.0,Manufacturer,howrah
R.K NATIONAL ENGINEERING,4.2,-5.0,Manufacturer,howrah
National Traders (Tesla Power Shop),5.0,-1.0,Manufacturer,howrah
N. D. TECHNO ENGINEERING PVT LTD,,,Manufacturer,howrah
GRD Paper Industries Pvt ltd,,,Manufacturer,howrah
Shyam Metalics,4.1,-7.0,Manufacturer,howrah
GRD Paper Industries Pvt. Ltd,5.0,-6.0,Paper mill,howrah
National Pug Mills,,,Mill,howrah
NATIONAL CORK SHEET CO.,3.7,-3.0,Manufacturer,howrah
New National Furniture,,,Furniture maker,howrah
National Industrial Corporation,4.0,-1.0,Hardware store,howrah
FedRox CNC Works,4.8,-57.0,Manufacturer,howrah
SANJAY CASTING & ENGINEERING COMPANY,3.0,-2.0,Manufacturer,howrah
BALAJI SOLUTIONS LIMITED,4.6,-60.0,Manufacturer,howrah
National Automobiles,,,Automation company,howrah
HITECH DENTICS PRIVATE LIMITED,,,Pharmaceutical company,howrah
G. K. Industries,,,Industrial equipment supplier,howrah
National Sales Syndicate,,,Paper distributor,howrah
National Cabinet Company,4.5,-2.0,Lumber store,howrah
NATIONAL INDUSTRIES,,,Container supplier,howrah
National Cabinet Company,,,Cabinet maker,howrah
Pratavas Medicare,,,Pharmaceutical company,howrah
National Trading Company,,,Iron works,hoogly
NIPHA EXPORTS (P) LTD,4.1,-112.0,Manufacturer,hoogly
Shivshakti Agro India Limited,3.5,-6.0,Manufacturer,hoogly
National ...Ladies' Tailor,4.4,-5.0,Clothing manufacturer,hoogly
MSR IRON FOUNDRY & STEEL WORKS,,,Manufacturer,hoogly
"CMOH office, Hooghly",3.9,-50.0,Public health department,hoogly
national jute manufractures corporation Ltd.,4.0,-1.0,Jute Mill,hoogly
Ganesh,,,Manufacturer,hoogly
