company_name,company_type,Location,review,no_user_review
OV International Services Pvt Ltd,Software company,"8th Floor, GN 34/1",3.4,-5
Buildfusion,Software company,"CG - 79, Salt Lake City, 79",4.7,-10
IBM BCS Building,Software company,"HCCM+RQH, Street Number 20",4.6,-770
LabVantage Solutions Private Limited,Software company,"Salt Lake Electronics Complex, Bengal Intelligent Park, Building ‘Omega’, 17th Floor, North Wing Block-EP & GP",4.8,-63
Starlite Infotech Ltd,Software company,"Godrej Waterside Block DP, 5th Floor Sector-V, Salt Lake City",,
Ontrack Systems Limited,Software company,"Block-EPY18, Sector-5, Salt Lake",4.0,-1
Uniwide Consultancy & Services,Software company,"3rd Floor, Module 415, SDF Building, 418",3.8,-5
Indus Net Technologies,Software company,"4th Floor, SDF Building Saltlake Electronic Complex",4.3,-391
Bit Wave Solutions Pvt Ltd,Software company,"Unit 602, Shaila Towers, J-1/16, EP & GP Block, Sector- V, Electronics Complex, Salt Lake,, Block EP J-1/16, Sector-V, Salt Lake",4.1,-27
Uniwide Logistics Multinational Limited,Logistics service,"SDF Building, Module No. 415, 3rd Floor",4.9,-16
RS Software India Ltd.,Software company,"11th Floor, Adventz Infinity",4.2,"-2,689"
Algonics Systems Pvt. Ltd.,Software company,"2nd Floor, SDF Building",3.7,-28
Fi-Tek,Software company,"10th Floor, Omega Tower, GP Block, Sector V, Salt Lake",3.9,-35
AMB Computer Integrated Engineering,Software company,"Module 208, SDF Building",4.4,-10
ARB Software India Pvt Limited,Software company,"Plot Y, 7",3.8,-727
DCG Data-Core Systems India Pvt Ltd,Software company,DCG Data-Core Systems India Pvt Ltd,4.2,-277
Wipro Limited,Software company,"1, 7, 8 & 9, Street No. 13",4.4,"-4,085"
"Abzooba Inc: Top AI, Data Science, Machine Learning, Data Analytics Company",Software company,"10th Floor, Infinity Benchmark",4.5,-48
Endue Technologies India Pvt Ltd,Software company,"SDF BUILDING, Fifth Floor, Module No 615,",5.0,-4
Net Guru Private Limited,Software company,Street Number 30,3.3,-486
Wipro Tower 3,Software company,DN - 57,4.1,-50
Brabender Technologie GmbH & Co. KG,Manufacturer,"CJ-231, Ground Floor",,
Globsyn Technologies Ltd,Software company,11 & 12,2.5,-11
"LabWare Limited, India Branch",Software company,JDS House,4.9,-12
Genpact,Software company,"6th Asyst Park GN 37, 1, Street Number 17",3.7,-360
ADA Software Re Engineering Services,Software company,"AQ-7, 8th. Floor, Sector-V, Saltlake City",3.9,-34
Experis™ India Pvt. Ltd,Software company,"Block GP . Plot J3, Sector V, Salt Lake City",3.6,-94
New Horizon Groups,Supplier,,3.7,-3
Fleapo - Mobile App Development & Web Design Company in Kolkata,Website designer,"EN66 #202 (2nd Floor), Salt Lake",4.5,-91
Xplore-Tech Services Pvt. Ltd.,BPO Company,Plot-Y9,3.7,-152
Larsen & Toubro Ltd,Real Estate Builders & Construction Company,"11th Floor, Tower - 2, DP-5",4.5,-771
KEYSIGHT TECHNOLOGIES - Ixia,Software company,"Floor 8, Infinity Tower II, Block-GP, Sector V, Salt Lake",4.5,-66
Mnc Software Companies,Software company,"1, 8, Major Arterial Road (South East Extension)",,
Tantia Constructions Limited,Real Estate Builders & Construction Company,"DD-30, sector 1, Saltlake City",3.8,-56
